Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
mobilemobilebase_link,0.083267,0.22887,0.3868,0,0,0,5.55,0.0071039,-2.69E-08,2.1814E-07,0.016698,9.5652E-08,0.02254,0,0,0,0,0,0,package://assem/meshes/mobilemobilebase_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://assem/meshes/mobilemobilebase_link.STL,,BASE_motor-1;Assem3^Mobile_Robot-1,Coordinate System base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lidar_link,-0.011858,0.00043575,-0.024331,0,0,0,0.389244,2.3572E-05,-1.0393E-07,2.9228E-07,3.7644E-05,-9.4265E-09,5.8788E-05,0,0,0,0,0,0,package://assem/meshes/lidar_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://assem/meshes/lidar_link.STL,,LIDAR-1,Coordinate System5,,lidar_joint,fixed,-0.029312,0.23082,0.44955,0,0,0,mobilebase_link,0,0,0,10,10,,,,,,,,,,
mpu_link,-0.0010413,3.4299E-05,-0.00029728,0,0,0,0.01061904,2.0946E-08,-1.3938E-10,-1.4232E-09,1.444E-08,-1.1582E-10,3.3356E-08,0,0,0,0,0,0,package://assem/meshes/mpu_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://assem/meshes/mpu_link.STL,,MPU6050_pin.stp-1,Coordinate System6,,mpu_joint,fixed,0.27038,0.23082,0.3256,0,0,0,mobilebase_link,0,0,0,10,10,,,,,,,,,,
frleft_link,-3.316E-07,-2.3489E-06,0.00069472,0,0,0,0.03,0.00020864,-1.0597E-08,5.8225E-08,0.00020857,-9.9179E-09,0.00022374,0,0,0,0,0,0,package://assem/meshes/frleft_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://assem/meshes/frleft_link.STL,,Wheel_Left-1,Coordinate System1,Axis_frleft_joint,frleft_joint,continuous,0.222207701741625,0.334848346448018,0.354802953300725,-1.5707963267949,0,0,mobilebase_link,0,0,1,10,10,,,,,0.1,0.1,,,,
frright_link,8.3318E-07,2.2153E-06,0.00075491,0,0,0,0.03,0.00020863,-2.4445E-08,5.5791E-08,0.00020857,-1.9681E-08,0.00022373,0,0,0,0,0,0,package://assem/meshes/frright_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://assem/meshes/frright_link.STL,,Wheel_right-1,Coordinate System3,Axis_frright_joint,frright_joint,continuous,0.22221,0.12679,0.3548,1.5708,0,0,mobilebase_link,0,0,1,10,10,,,,,0.1,0.1,,,,
baright_link,1.3215E-07,2.318E-06,0.00075491,0,0,0,0.03,0.00020864,-4.3118E-09,5.8663E-08,0.00020856,-2.1259E-09,0.00022373,0,0,0,0,0,0,package://assem/meshes/baright_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://assem/meshes/baright_link.STL,,Wheel_right-2,Coordinate System4,Axis_baright_joint,baright_joint,continuous,-0.057256,0.12679,0.3548,1.5708,0,0,mobilebase_link,0,0,1,10,10,,,,,0.1,0.1,,,,
baleft_link,-2.5814E-07,-2.3522E-06,0.00069472,0,0,0,0.03,0.00020864,-8.3657E-09,5.8476E-08,0.00020857,-8.1151E-09,0.00022374,0,0,0,0,0,0,package://assem/meshes/baleft_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://assem/meshes/baleft_link.STL,,Wheel_Left-2,Coordinate System2,Axis_baleft_joint,baleft_joint,continuous,-0.057256,0.33485,0.3548,-1.5708,0,0,mobilemobilebase_link,0,0,1,10,10,,,,,0.1,0.1,,,,
